transaction_id,timestamp,sender,receiver,amount,currency
TX00000090,2025-01-01 06:38:17.603520277+00:00,AC00118,AC00335,675.73,EUR
TX00000091,2025-01-01 06:40:37.961908728+00:00,AC00031,AC00023,4560.59,EUR
TX00000092,2025-01-01 06:41:31.481885578+00:00,AC00162,AC00421,16936.49,EUR
TX00000093,2025-01-01 06:56:38.859594967+00:00,AC00421,AC00260,3762.54,EUR
TX00000094,2025-01-01 07:05:16.302573029+00:00,AC00378,AC00091,562.84,EUR
TX00000095,2025-01-01 07:10:10.153767182+00:00,AC00461,AC00335,598.08,EUR
TX00000096,2025-01-01 07:11:46.237304355+00:00,AC00421,AC00339,3120.36,EUR
TX00000097,2025-01-01 07:26:53.615013744+00:00,AC00421,AC00058,3647.27,EUR
TX00000098,2025-01-01 07:29:25.677544159+00:00,AC00245,AC00011,68.83,EUR
TX00000099,2025-01-01 07:35:26.192588781+00:00,AC00004,AC00069,153.69,EUR
